id,release_date,revenue,title,vote_average,vote_count
5,12/9/1995,4300000,Four Rooms,6.5,539
6,10/15/1993,12136938,Judgment Night,6.4,79
11,5/25/1977,775398007,Star Wars,8.1,6778
12,5/30/2003,940335536,Finding Nemo,7.6,6292
13,7/6/1994,677945399,Forrest Gump,8.2,8147
14,9/15/1999,356296601,American Beauty,7.9,3438
15,4/30/1941,23217674,Citizen Kane,8,1244
16,5/17/2000,40031879,Dancer in the Dark,7.7,392
18,5/7/1997,263920180,The Fifth Element,7.3,3962
19,1/10/1927,650422,Metropolis,8,666
20,3/7/2003,9726954,My Life Without Me,7.2,78
22,7/9/2003,655011224,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7191
24,10/10/2003,180949000,Kill Bill: Vol. 1,7.7,5091
25,11/4/2005,96889998,Jarhead,6.6,776
27,7/16/2004,1574623,9 Songs,5.1,103
28,8/15/1979,89460381,Apocalypse Now,8,2112
33,8/7/1992,159157447,Unforgiven,7.7,1133
35,7/25/2007,527068851,The Simpsons Movie,6.9,2335
38,3/19/2004,72258126,Eternal Sunshine of the Spotless Mind,7.9,3758
55,6/16/2000,20908467,Amores perros,7.6,537
58,6/20/2006,1065659812,Pirates of the Caribbean: Dead Mans Chest,7,5380
59,9/23/2005,60740827,A History of Violence,6.9,850
62,4/10/1968,68700000,2001: A Space Odyssey,7.9,3075
63,12/29/1995,168840000,Twelve Monkeys,7.4,2470
64,3/14/2002,51001550,Talk to Her,7.5,273
65,11/8/2002,215000000,8 Mile,6.8,1676
66,2/14/1997,50068310,Absolute Power,6.4,226
67,2/14/2005,3357075,Paradise Now,6.9,63
69,9/13/2005,186438883,Walk the Line,7.3,732
70,12/15/2004,216763646,Million Dollar Baby,7.7,2519
71,5/18/2000,110000000,Billy Elliot,7.4,774
73,10/30/1998,23875127,American History X,8.2,3120
74,6/28/2005,591739379,War of the Worlds,6.2,2397
75,12/12/1996,101371017,Mars Attacks!,6.1,1544
76,1/27/1995,5535405,Before Sunrise,7.7,984
77,10/11/2000,39723096,Memento,8.1,4168
78,6/25/1982,33139618,Blade Runner,7.9,3833
79,12/19/2002,177394432,Hero,7.3,647
80,2/10/2004,15992615,Before Sunset,7.6,734
81,3/11/1984,3301446,Nausicaä of the Valley of the Wind,7.7,808
82,7/27/2006,163794509,Miami Vice,5.7,494
83,8/6/2004,54667954,Open Water,5.3,320
85,6/12/1981,389925971,Raiders of the Lost Ark,7.7,3949
87,5/23/1984,333000000,Indiana Jones and the Temple of Doom,7.1,2841
88,8/21/1987,213954274,Dirty Dancing,7.1,1371
89,5/24/1989,474171806,Indiana Jones and the Last Crusade,7.6,3221
90,11/29/1984,316360478,Beverly Hills Cop,6.8,985
95,7/1/1998,553799566,Armageddon,6.5,2540
96,5/18/1987,299965036,Beverly Hills Cop II,6.1,627
97,7/9/1982,33000000,Tron,6.6,717
98,5/1/2000,457640427,Gladiator,7.9,5566
99,4/19/1999,67872296,All About My Mother,7.4,337
101,9/14/1994,45284974,Leon: The Professional,8.2,4293
103,2/7/1976,28262574,Taxi Driver,8.1,2632
104,8/20/1998,7267585,Run Lola Run,7.2,672
105,7/3/1985,381109762,Back to the Future,8,6239
106,6/11/1987,98235548,Predator,7.3,2129
107,9/1/2000,83557872,Snatch,7.7,2953
111,12/8/1983,65884703,Scarface,8,3017
114,3/23/1990,463000000,Pretty Woman,7,1807
115,3/6/1998,46189568,The Big Lebowski,7.8,3001
116,10/26/2005,85306374,Match Point,7.2,1134
117,6/2/1987,76270454,The Untouchables,7.6,1424
118,7/13/2005,474968763,Charlie and the Chocolate Factory,6.7,3759
120,12/18/2001,871368364,The Lord of the Rings: The Fellowship of the Ring,8,8892
121,12/18/2002,926287400,The Lord of the Rings: The Two Towers,8,7641
122,12/1/2003,1118888979,The Lord of the Rings: The Return of the King,8.1,8226
123,11/15/1978,30471420,The Lord of the Rings,6.1,187
128,7/12/1997,159375308,Princess Mononoke,8.2,2041
129,7/20/2001,274925095,Spirited Away,8.3,3968
137,2/11/1993,70906973,Groundhog Day,7.4,2358
138,2/12/1931,1012189,Dracula,7.2,254
140,3/19/2004,40266982,Bad Education,7.1,223
141,1/18/2001,1270522,Donnie Darko,7.7,3574
142,9/2/2005,178043761,Brokeback Mountain,7.5,1531
144,1/1/1987,3200000,Wings of Desire,7.5,256
145,5/13/1996,3803298,Breaking the Waves,7.2,213
149,7/16/1988,553171,Akira,7.8,792
150,12/7/1982,78868508,48 Hrs.,6.5,364
152,12/6/1979,139000000,Star Trek: The Motion Picture,6.2,541
153,8/31/2003,119723856,Lost in Translation,7.3,1943
