id,imdb_id,original_language,original_title,release_date,revenue,title,vote_average,vote_count
19995,tt0499549,en,Avatar,12/10/2009,2787965087,Avatar,7.2,12114
140607,tt2488496,en,Star Wars: The Force Awakens,12/15/2015,2068223624,Star Wars: The Force Awakens,7.5,7993
597,tt0120338,en,Titanic,11/18/1997,1845034188,Titanic,7.5,7770
24428,tt0848228,en,The Avengers,4/25/2012,1519557910,The Avengers,7.4,12000
135397,tt0369610,en,Jurassic World,6/9/2015,1513528810,Jurassic World,6.5,8842
168259,tt2820852,en,Furious 7,4/1/2015,1506249360,Furious 7,7.3,4253
99861,tt2395427,en,Avengers: Age of Ultron,4/22/2015,1405403694,Avengers: Age of Ultron,7.3,6908
12445,tt1201607,en,Harry Potter and the Deathly Hallows: Part 2,7/7/2011,1342000000,Harry Potter and the Deathly Hallows: Part 2,7.9,6141
109445,tt2294629,en,Frozen,11/27/2013,1274219009,Frozen,7.3,5440
321612,tt2771200,en,Beauty and the Beast,3/16/2017,1262886337,Beauty and the Beast,6.8,5530
337339,tt4630562,en,The Fate of the Furious,4/12/2017,1238764765,The Fate of the Furious,6.8,3803
68721,tt1300854,en,Iron Man 3,4/18/2013,1215439994,Iron Man 3,6.8,8951
211672,tt2293640,en,Minions,6/17/2015,1156730962,Minions,6.4,4729
271110,tt3498820,en,Captain America: Civil War,4/27/2016,1153304495,Captain America: Civil War,7.1,7462
38356,tt1399103,en,Transformers: Dark of the Moon,6/28/2011,1123746996,Transformers: Dark of the Moon,6.1,3351
122,tt0167260,en,The Lord of the Rings: The Return of the King,12/1/2003,1118888979,The Lord of the Rings: The Return of the King,8.1,8226
37724,tt1074638,en,Skyfall,10/25/2012,1108561013,Skyfall,6.9,7718
91314,tt2109248,en,Transformers: Age of Extinction,6/25/2014,1091405097,Transformers: Age of Extinction,5.8,3136
49026,tt1345836,en,The Dark Knight Rises,7/16/2012,1084939099,The Dark Knight Rises,7.6,9263
10193,tt0435761,en,Toy Story 3,6/16/2010,1066969703,Toy Story 3,7.6,4710
58,tt0383574,en,Pirates of the Caribbean: Dead Man's Chest,6/20/2006,1065659812,Pirates of the Caribbean: Dead Man's Chest,7,5380
330459,tt3748528,en,Rogue One: A Star Wars Story,12/14/2016,1056057273,Rogue One: A Star Wars Story,7.4,5111
1865,tt1298650,en,Pirates of the Caribbean: On Stranger Tides,5/14/2011,1045713802,Pirates of the Caribbean: On Stranger Tides,6.4,5068
127380,tt2277860,en,Finding Dory,6/16/2016,1028570889,Finding Dory,6.8,4333
12155,tt1014759,en,Alice in Wonderland,3/3/2010,1025491110,Alice in Wonderland,6.4,4773
269149,tt2948356,en,Zootopia,2/11/2016,1023784195,Zootopia,7.7,4961
49051,tt0903624,en,The Hobbit: An Unexpected Journey,11/26/2012,1021103568,The Hobbit: An Unexpected Journey,7,8427
324852,tt3469046,en,Despicable Me 3,6/15/2017,1020063384,Despicable Me 3,6.2,2002
